,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC,thisloss
train_score,flow,classification,"(0, 0, 0)",9.0,3,2.5,none,0,0.38325822353363037,2489.0,1856.0,43908.0,3182.0,0.9181401133537292,0.5798891186714172,0.4385458827018738,0.8645362854003906,0.8285205960273743,0.2381492555141449,
val_score,flow,classification,"(0, 0, 0)",9.0,3,2.5,none,0,6.669923305511475,1215.0,2048.0,33558.0,3182.0,0.8689571022987366,0.3685121238231659,0.2627270519733429,0.8129467964172363,0.9418707489967346,0.05204648897051811,
test_score,flow,classification,"(0, 0, 0)",9.0,3,2.5,none,0,3.9997711181640625,8342.0,12895.0,240839.0,23438.0,0.8744425773620605,0.39027658104896545,0.2573125660419464,0.805180549621582,0.8979901671409607,0.14982940256595612,
train_score,flow,classification,"(0, 0, 0)",27.0,3,2.5,none,0,0.37723028659820557,12027.0,7124.0,185054.0,12002.0,0.914859414100647,0.6351758241653442,0.500658392906189,0.8755740523338318,1.2294522523880005,0.38554322719573975,
val_score,flow,classification,"(0, 0, 0)",27.0,3,2.5,none,0,7.174590587615967,9087.0,3983.0,124194.0,6803.0,0.9270944595336914,0.6968991160392761,0.5665491223335266,0.9667465686798096,1.026444911956787,0.4615328311920166,
test_score,flow,classification,"(0, 0, 0)",27.0,3,2.5,none,0,3.588106393814087,9156.0,2158.0,108491.0,4883.0,0.9523844718933105,0.8087913990020752,0.6434857845306396,0.9750534892082214,0.9078335762023926,0.5774248838424683,
train_score,flow,classification,"(0, 0, 1)",9.0,3,2.5,none,0,0.15674050152301788,33241.0,10803.0,450701.0,24969.0,0.9508330225944519,0.753646194934845,0.5682916045188904,0.9425416588783264,0.8467510342597961,0.45774251222610474,
val_score,flow,classification,"(0, 0, 1)",9.0,3,2.5,none,0,9.68490219116211,6668.0,2504.0,80737.0,4408.0,1.0483452081680298,0.7152500748634338,0.6342136263847351,0.9605352878570557,0.8215316534042358,0.45496582984924316,
test_score,flow,classification,"(0, 0, 1)",9.0,3,2.5,none,0,4.72968864440918,434.0,1650.0,80847.0,3847.0,0.9427635073661804,0.8157389760017395,0.6893013715744019,0.9834159016609192,0.7470842599868774,0.6542257070541382,
train_score,flow,classification,"(0, 0, 2)",9.0,3,2.5,none,0,2.0054056644439697,2622.0,804.0,27188.0,1364.0,0.9307496547698975,0.7855530381202698,0.0023416918702423573,0.9556876420974731,0.6916136145591736,0.46752452850341797,
val_score,flow,classification,"(0, 0, 2)",9.0,3,2.5,none,0,2.0223171710968018,5602.0,2480.0,74153.0,4415.0,0.9157354831695557,0.6914586424827576,0.5066134929656982,0.966980516910553,0.6701098680496216,0.2781815528869629,
test_score,flow,classification,"(0, 0, 2)",9.0,3,2.5,none,0,2.037097692489624,13710.0,4019.0,188365.0,10892.0,0.9808763861656189,0.7725645303726196,0.5485361218452454,0.952145516872406,0.85600346326828,0.44808605313301086,
train_score,flow,classification,"(0, 0, 3)",9.0,3,2.5,none,0,0.08324965834617615,25138.0,9014.0,349383.0,20312.0,0.9528795480728149,0.7266970872879028,0.5331858396530151,0.9523748159408569,0.8384144306182861,0.4459350109100342,
val_score,flow,classification,"(0, 0, 3)",9.0,3,2.5,none,0,9.187719345092773,4387.0,1602.0,40289.0,1720.0,1.7039064168930054,0.11327578127384186,0.5540251135826111,0.9203500747680664,0.9239879846572876,0.4762250781059265,
test_score,flow,classification,"(0, 0, 3)",9.0,3,2.5,none,0,4.140501976013184,1522.0,526.0,524512.0,30837.0,0.9272254109382629,0.6949231028556824,0.5410557389259338,0.9135378003120422,0.8553300499916077,0.4546622633934021,
train_score,flow,classification,"(0, 0, 4)",9.0,3,2.5,none,0,0.8135786056518555,2568.0,1282.0,25379.0,804.0,1.1071429252624512,0.7464413046836853,0.03374443203210831,0.9427215456962585,1.0866789817810059,0.45693519711494446,
